rank,soft_conflict_pairs,avg_city_entropy,strength_balance_std,final_score
1,0.0,2.0,6.2099,187.5803
2,0.0,2.0,6.7869,186.4261
3,0.0,2.0,6.9417,186.1166
4,0.0,2.0,6.9955,186.0089
5,0.0,2.0,7.2414,185.5173
6,0.0,2.0,7.25,185.5
7,0.0,2.0,7.3697,185.2606
8,0.0,2.0,7.4791,185.0417
9,0.0,2.0,7.5622,184.8755
10,0.0,2.0,7.7339,184.5323
11,0.0,2.0,7.7982,184.4035
12,0.0,2.0,7.87,184.2599
13,0.0,2.0,7.9333,184.1334
14,0.0,2.0,7.9648,184.0705
15,0.0,2.0,8.2044,183.5912
16,0.0,2.0,8.2802,183.4395
17,0.0,2.0,8.2953,183.4093
18,0.0,2.0,8.3703,183.2593
19,0.0,2.0,8.4595,183.0811
20,0.0,2.0,8.4668,183.0663
21,0.0,2.0,8.489,183.0221
22,0.0,2.0,8.5184,182.9633
23,0.0,2.0,8.5623,182.8755
24,0.0,2.0,8.5841,182.8317
25,0.0,2.0,8.606,182.7881
26,0.0,2.0,8.606,182.7881
27,0.0,2.0,8.6132,182.7736
28,0.0,2.0,8.6927,182.6147
29,0.0,2.0,8.7571,182.4857
30,0.0,2.0,8.7714,182.4572
31,0.0,2.0,8.7785,182.443
32,0.0,2.0,8.8776,182.2447
33,0.0,2.0,8.9058,182.1885
34,0.0,2.0,8.9268,182.1464
35,0.0,2.0,8.9547,182.0905
36,0.0,2.0,8.9547,182.0905
37,0.0,2.0,8.9757,182.0487
38,0.0,2.0,8.9896,182.0208
39,0.0,2.0,9.0312,181.9376
40,0.0,2.0,9.0519,181.8961
41,0.0,2.0,9.0519,181.8961
42,0.0,2.0,9.0588,181.8823
43,0.0,2.0,9.0588,181.8823
44,0.0,2.0,9.1001,181.7997
45,0.0,2.0,9.107,181.786
46,0.0,2.0,9.1481,181.7038
47,0.0,2.0,9.1481,181.7038
48,0.0,2.0,9.1958,181.6084
49,0.0,2.0,9.2297,181.5406
50,0.0,2.0,9.2432,181.5135
51,0.0,2.0,9.25,181.5
52,0.0,2.0,9.2635,181.473
53,0.0,2.0,9.3173,181.3654
54,0.0,2.0,9.3374,181.3252
55,0.0,2.0,9.3441,181.3118
56,0.0,2.0,9.3575,181.285
57,0.0,2.0,9.3708,181.2583
58,0.0,2.0,9.4505,181.0989
59,0.0,2.0,9.4637,181.0725
60,0.0,2.0,9.4769,181.0461
61,0.0,2.0,9.5361,180.9278
62,0.0,2.0,9.5492,180.9016
63,0.0,2.0,9.5688,180.8623
64,0.0,2.0,9.6079,180.7841
65,0.0,2.0,9.6079,180.7841
66,0.0,2.0,9.6144,180.7711
67,0.0,2.0,9.6209,180.7581
68,0.0,2.0,9.6339,180.7322
69,0.0,2.0,9.6339,180.7322
70,0.0,2.0,9.6404,180.7192
71,0.0,2.0,9.6469,180.7062
72,0.0,2.0,9.6663,180.6674
73,0.0,2.0,9.6728,180.6545
74,0.0,2.0,9.6921,180.6157
75,0.0,2.0,9.7115,180.5771
76,0.0,2.0,9.7372,180.5257
77,0.0,2.0,9.782,180.436
78,0.0,2.0,9.8075,180.385
79,0.0,2.0,9.8266,180.3468
80,0.0,2.0,9.833,180.334
81,0.0,2.0,9.833,180.334
82,0.0,2.0,9.8584,180.2833
83,0.0,2.0,9.871,180.2579
84,0.0,2.0,9.89,180.22
85,0.0,2.0,9.953,180.094
86,0.0,2.0,9.9718,180.0563
87,0.0,2.0,9.9781,180.0438
88,0.0,2.0,9.9844,180.0313
89,0.0,2.0,9.9844,180.0313
90,0.0,2.0,10.0031,179.9938
91,0.0,2.0,10.053,179.894
92,0.0,2.0,10.084,179.832
93,0.0,2.0,10.1088,179.7824
94,0.0,2.0,10.1396,179.7207
95,0.0,2.0,10.1396,179.7207
96,0.0,2.0,10.1458,179.7084
97,0.0,2.0,10.1581,179.6838
98,0.0,2.0,10.1766,179.6469
99,0.0,2.0,10.195,179.6101
100,0.0,2.0,10.2011,179.5978
101,0.0,2.0,10.2133,179.5733
102,0.0,2.0,10.2195,179.5611
103,0.0,2.0,10.2561,179.4878
104,0.0,2.0,10.3108,179.3784
105,0.0,2.0,10.3169,179.3663
106,0.0,2.0,10.3411,179.3179
107,0.0,2.0,10.3531,179.2937
108,0.0,2.0,10.3652,179.2696
109,0.0,2.0,10.3652,179.2696
110,0.0,2.0,10.3773,179.2455
111,0.0,2.0,10.4073,179.1853
112,0.0,2.0,10.4133,179.1733
113,0.0,2.0,10.4193,179.1613
114,0.0,2.0,10.4313,179.1374
115,0.0,2.0,10.4313,179.1374
116,0.0,2.0,10.4313,179.1374
117,0.0,2.0,10.4433,179.1134
118,0.0,2.0,10.4493,179.1014
119,0.0,2.0,10.4553,179.0895
120,0.0,2.0,10.4672,179.0656
121,0.0,2.0,10.4732,179.0536
122,0.0,2.0,10.503,178.994
123,0.0,2.0,10.5208,178.9584
124,0.0,2.0,10.5268,178.9465
125,0.0,2.0,10.5386,178.9228
126,0.0,2.0,10.5386,178.9228
127,0.0,2.0,10.5564,178.8872
128,0.0,2.0,10.5919,178.8163
129,0.0,2.0,10.6095,178.7809
130,0.0,2.0,10.6095,178.7809
131,0.0,2.0,10.6095,178.7809
132,0.0,2.0,10.6272,178.7456
133,0.0,2.0,10.639,178.7221
134,0.0,2.0,10.639,178.7221
135,0.0,2.0,10.639,178.7221
136,0.0,2.0,10.68,178.64
137,0.0,2.0,10.6859,178.6283
138,0.0,2.0,10.7209,178.5582
139,0.0,2.0,10.7267,178.5466
140,0.0,2.0,10.7384,178.5233
141,0.0,2.0,10.7442,178.5116
142,0.0,2.0,10.75,178.5
143,0.0,2.0,10.7616,178.4768
144,0.0,2.0,10.7732,178.4535
145,0.0,2.0,10.7848,178.4303
146,0.0,2.0,10.7906,178.4188
147,0.0,2.0,10.7964,178.4072
148,0.0,2.0,10.8253,178.3494
149,0.0,2.0,10.8484,178.3032
150,0.0,2.0,10.8484,178.3032
151,0.0,2.0,10.8484,178.3032
152,0.0,2.0,10.8541,178.2917
153,0.0,2.0,10.8599,178.2802
154,0.0,2.0,10.8599,178.2802
155,0.0,2.0,10.8829,178.2342
156,0.0,2.0,10.8829,178.2342
157,0.0,2.0,10.8886,178.2227
158,0.0,2.0,10.8886,178.2227
159,0.0,2.0,10.8944,178.2112
160,0.0,2.0,10.9516,178.0968
161,0.0,2.0,10.963,178.074
162,0.0,2.0,10.9687,178.0626
163,0.0,2.0,10.9801,178.0398
164,0.0,2.0,11.0028,177.9943
165,0.0,2.0,11.0142,177.9716
166,0.0,2.0,11.0255,177.9489
167,0.0,2.0,11.0312,177.9376
168,0.0,2.0,11.0312,177.9376
169,0.0,2.0,11.0482,177.9036
170,0.0,2.0,11.0595,177.881
171,0.0,2.0,11.0595,177.881
172,0.0,2.0,11.0764,177.8471
173,0.0,2.0,11.0764,177.8471
174,0.0,2.0,11.0821,177.8358
175,0.0,2.0,11.099,177.802
176,0.0,2.0,11.099,177.802
177,0.0,2.0,11.1046,177.7908
178,0.0,2.0,11.1046,177.7908
179,0.0,2.0,11.1215,177.757
180,0.0,2.0,11.1271,177.7458
181,0.0,2.0,11.1439,177.7121
182,0.0,2.0,11.1943,177.6114
183,0.0,2.0,11.2166,177.5668
184,0.0,2.0,11.2222,177.5556
185,0.0,2.0,11.2278,177.5445
186,0.0,2.0,11.2389,177.5222
187,0.0,2.0,11.2556,177.4889
188,0.0,2.0,11.2888,177.4224
189,0.0,2.0,11.2888,177.4224
190,0.0,2.0,11.2944,177.4113
191,0.0,2.0,11.2944,177.4113
192,0.0,2.0,11.2999,177.4002
193,0.0,2.0,11.3109,177.3781
194,0.0,2.0,11.3165,177.3671
195,0.0,2.0,11.3275,177.345
196,0.0,2.0,11.333,177.3339
197,0.0,2.0,11.3496,177.3009
198,0.0,2.0,11.3606,177.2789
199,0.0,2.0,11.3606,177.2789
200,0.0,2.0,11.3716,177.2569
201,0.0,2.0,11.3771,177.2459
202,0.0,2.0,11.3771,177.2459
203,0.0,2.0,11.3771,177.2459
204,0.0,2.0,11.388,177.2239
205,0.0,2.0,11.3935,177.2129
206,0.0,2.0,11.4209,177.1582
207,0.0,2.0,11.4209,177.1582
208,0.0,2.0,11.4319,177.1363
209,0.0,2.0,11.4319,177.1363
210,0.0,2.0,11.4319,177.1363
211,0.0,2.0,11.4483,177.1035
212,0.0,2.0,11.4701,177.0599
213,0.0,2.0,11.4864,177.0272
214,0.0,2.0,11.4918,177.0163
215,0.0,2.0,11.5027,176.9946
216,0.0,2.0,11.5081,176.9837
217,0.0,2.0,11.5081,176.9837
218,0.0,2.0,11.5136,176.9728
219,0.0,2.0,11.519,176.962
220,0.0,2.0,11.519,176.962
221,0.0,2.0,11.5244,176.9511
222,0.0,2.0,11.5299,176.9403
223,0.0,2.0,11.5299,176.9403
224,0.0,2.0,11.5353,176.9295
225,0.0,2.0,11.5515,176.897
226,0.0,2.0,11.5893,176.8213
227,0.0,2.0,11.5947,176.8106
228,0.0,2.0,11.6055,176.789
229,0.0,2.0,11.6324,176.7352
230,0.0,2.0,11.6431,176.7137
231,0.0,2.0,11.6431,176.7137
232,0.0,2.0,11.6539,176.6923
233,0.0,2.0,11.6592,176.6816
234,0.0,2.0,11.6699,176.6601
235,0.0,2.0,11.6699,176.6601
236,0.0,2.0,11.6806,176.6387
237,0.0,2.0,11.6913,176.6173
238,0.0,2.0,11.6913,176.6173
239,0.0,2.0,11.6967,176.6066
240,0.0,2.0,11.7074,176.5853
241,0.0,2.0,11.7127,176.5746
242,0.0,2.0,11.7287,176.5426
243,0.0,2.0,11.734,176.5319
244,0.0,2.0,11.7394,176.5213
245,0.0,2.0,11.7553,176.4894
246,0.0,2.0,11.7553,176.4894
247,0.0,2.0,11.7553,176.4894
248,0.0,2.0,11.7659,176.4681
249,0.0,2.0,11.7819,176.4363
250,0.0,2.0,11.7978,176.4044
251,0.0,2.0,11.8031,176.3939
252,0.0,2.0,11.8084,176.3833
253,0.0,2.0,11.8612,176.2776
254,0.0,2.0,11.898,176.204
255,0.0,2.0,11.9085,176.183
256,0.0,2.0,11.9242,176.1515
257,0.0,2.0,11.9242,176.1515
258,0.0,2.0,11.9295,176.141
259,0.0,2.0,11.9452,176.1096
260,0.0,2.0,11.9609,176.0783
261,0.0,2.0,11.9713,176.0574
262,0.0,2.0,11.9713,176.0574
263,0.0,2.0,11.9765,176.0469
264,0.0,2.0,11.9818,176.0365
265,0.0,2.0,12.0026,175.9948
266,0.0,2.0,12.0078,175.9844
267,0.0,2.0,12.0182,175.9636
268,0.0,2.0,12.039,175.922
269,0.0,2.0,12.0442,175.9116
270,0.0,2.0,12.0546,175.8909
271,0.0,2.0,12.0597,175.8805
272,0.0,2.0,12.0649,175.8701
273,0.0,2.0,12.0753,175.8494
274,0.0,2.0,12.0908,175.8184
275,0.0,2.0,12.096,175.8081
276,0.0,2.0,12.096,175.8081
277,0.0,2.0,12.096,175.8081
278,0.0,2.0,12.1115,175.7771
279,0.0,2.0,12.1166,175.7668
280,0.0,2.0,12.1218,175.7564
281,0.0,2.0,12.1321,175.7358
282,0.0,2.0,12.1527,175.6947
283,0.0,2.0,12.163,175.6741
284,0.0,2.0,12.1835,175.633
285,0.0,2.0,12.1886,175.6228
286,0.0,2.0,12.204,175.592
287,0.0,2.0,12.2091,175.5818
288,0.0,2.0,12.2193,175.5613
289,0.0,2.0,12.2347,175.5306
290,0.0,2.0,12.2398,175.5204
291,0.0,2.0,12.2551,175.4898
292,0.0,2.0,12.2551,175.4898
293,0.0,2.0,12.2755,175.449
294,0.0,2.0,12.2755,175.449
295,0.0,2.0,12.2857,175.4287
296,0.0,2.0,12.2958,175.4083
297,0.0,2.0,12.2958,175.4083
298,0.0,2.0,12.3161,175.3677
299,0.0,2.0,12.3364,175.3271
300,0.0,2.0,12.3415,175.317
301,0.0,2.0,12.3415,175.317
302,0.0,2.0,12.3617,175.2765
303,0.0,2.0,12.3718,175.2563
304,0.0,2.0,12.3769,175.2462
305,0.0,2.0,12.3769,175.2462
306,0.0,2.0,12.392,175.2159
307,0.0,2.0,12.4021,175.1958
308,0.0,2.0,12.4122,175.1756
309,0.0,2.0,12.4223,175.1555
310,0.0,2.0,12.4323,175.1354
311,0.0,2.0,12.4474,175.1052
312,0.0,2.0,12.4524,175.0952
313,0.0,2.0,12.4574,175.0851
314,0.0,2.0,12.4574,175.0851
315,0.0,2.0,12.4624,175.0751
316,0.0,2.0,12.4825,175.035
317,0.0,2.0,12.4825,175.035
318,0.0,2.0,12.4825,175.035
319,0.0,2.0,12.5125,174.975
320,0.0,2.0,12.5125,174.975
321,0.0,2.0,12.5225,174.955
322,0.0,2.0,12.5374,174.9251
323,0.0,2.0,12.5574,174.8853
324,0.0,2.0,12.5574,174.8853
325,0.0,2.0,12.5623,174.8753
326,0.0,2.0,12.5623,174.8753
327,0.0,2.0,12.5673,174.8654
328,0.0,2.0,12.5723,174.8554
329,0.0,2.0,12.5872,174.8256
330,0.0,2.0,12.612,174.776
331,0.0,2.0,12.6219,174.7562
332,0.0,2.0,12.6269,174.7463
333,0.0,2.0,12.6368,174.7265
334,0.0,2.0,12.6417,174.7166
335,0.0,2.0,12.6664,174.6672
336,0.0,2.0,12.6713,174.6573
337,0.0,2.0,12.7206,174.5589
338,0.0,2.0,12.7255,174.5491
339,0.0,2.0,12.7402,174.5196
340,0.0,2.0,12.7402,174.5196
341,0.0,2.0,12.7598,174.4804
342,0.0,2.0,12.7745,174.451
343,0.0,2.0,12.7794,174.4412
344,0.0,2.0,12.7892,174.4217
345,0.0,2.0,12.794,174.4119
346,0.0,2.0,12.7989,174.4021
347,0.0,2.0,12.7989,174.4021
348,0.0,2.0,12.8136,174.3729
349,0.0,2.0,12.8282,174.3436
350,0.0,2.0,12.8331,174.3339
351,0.0,2.0,12.8428,174.3144
352,0.0,2.0,12.8428,174.3144
353,0.0,2.0,12.9059,174.1882
354,0.0,2.0,12.9108,174.1785
355,0.0,2.0,12.9204,174.1591
356,0.0,2.0,12.9301,174.1398
357,0.0,2.0,12.9446,174.1108
358,0.0,2.0,12.9446,174.1108
359,0.0,2.0,12.9591,174.0819
360,0.0,2.0,12.9735,174.0529
361,0.0,2.0,12.9735,174.0529
362,0.0,2.0,12.9832,174.0337
