group,venue_region,venue_team,avg_distance_km,max_distance_km,min_distance_km,home_team_count
G01,三门县,三门县队,155.73,209.14,20.72,0
G02,三门县,三门县队,171.58,207.1,129.65,0
G03,诸暨市,诸暨市队,128.56,157.0,95.47,0
G04,仙居县,仙居县队,99.16,145.57,35.58,0
G05,丽水市,丽水市队,119.81,153.06,88.13,0
G06,义乌市,义乌市队,120.88,176.51,52.47,0
G07,东阳市,东阳市队,127.54,150.84,76.35,0
G08,磐安县,磐安县队,140.1,214.82,78.07,0
G09,仙居县,仙居县队,89.12,133.34,65.52,0
G10,东阳市,东阳市队,84.84,134.57,38.39,0
G11,磐安县,磐安县队,184.24,199.06,175.67,0
G12,诸暨市,诸暨市队,113.06,149.32,47.84,0
G13,金华市,金华市队,135.53,180.56,62.28,0
G14,义乌市,义乌市队,152.33,174.86,107.83,0
G15,丽水市,丽水市队,90.7,145.91,48.36,0
G16,金华市,金华市队,132.08,181.39,65.11,0
