format_name,team_name,strength,group,qualify_rate,quarterfinal_rate,semifinal_rate,final_rate,champion_rate
current_random_draw,杭州市队,90.0,G14,0.9924,0.6282,0.482,0.3676,0.2784
current_random_draw,宁波市队,85.6275,G04,0.9877,0.518,0.3588,0.2336,0.1421
current_random_draw,温州市队,82.7149,G07,0.9833,0.4389,0.2669,0.1562,0.0818
current_random_draw,绍兴市队,82.2449,G02,0.9878,0.4395,0.271,0.1594,0.0836
current_random_draw,义乌市队,79.6466,G12,0.8609,0.3225,0.1837,0.0987,0.0481
current_random_draw,台州市队,79.0802,G10,0.9843,0.3525,0.1943,0.1003,0.0445
current_random_draw,慈溪市队,78.9263,G07,0.1672,0.058,0.0322,0.0164,0.0078
current_random_draw,乐清市队,78.3977,G05,0.8644,0.2963,0.1629,0.0807,0.0377
current_random_draw,瑞安市队,78.2237,G08,0.1633,0.0532,0.0263,0.0123,0.0054
current_random_draw,海宁市队,77.5332,G07,0.0082,0.0027,0.0013,0.0004,0.0001
current_random_draw,诸暨市队,77.272,G10,0.0088,0.0026,0.0012,0.0006,0.0003
current_random_draw,金华市队,77.0475,G08,0.9822,0.3081,0.157,0.0751,0.0336
current_random_draw,嘉兴市队,76.9739,G01,0.9821,0.2832,0.1361,0.057,0.0213
current_random_draw,温岭市队,76.944,G09,0.1738,0.0541,0.028,0.0129,0.0054
current_random_draw,东阳市队,76.3938,G13,0.9795,0.2914,0.1454,0.0657,0.0294
current_random_draw,余姚市队,75.7398,G13,0.8471,0.222,0.0994,0.0399,0.0142
current_random_draw,桐乡市队,75.351,G11,0.8454,0.2178,0.096,0.0387,0.0144
current_random_draw,临海市队,75.2157,G05,0.9822,0.2629,0.1245,0.051,0.0186
current_random_draw,湖州市队,75.1184,G06,0.9828,0.2489,0.111,0.0451,0.016
current_random_draw,永嘉县队,74.0757,G04,0.1766,0.0417,0.0186,0.0073,0.0024
current_random_draw,永康市队,73.935,G15,0.1701,0.0407,0.0184,0.0066,0.0027
current_random_draw,平阳县队,73.7709,G16,0.1874,0.0417,0.0173,0.006,0.0021
current_random_draw,衢州市队,73.7618,G03,0.9806,0.2251,0.0951,0.0363,0.0123
current_random_draw,平湖市队,73.6491,G03,0.1782,0.0423,0.0188,0.0077,0.0027
current_random_draw,宁海县队,73.4369,G01,0.8428,0.1943,0.0848,0.0343,0.0115
current_random_draw,象山县队,73.4009,G14,0.0083,0.0019,0.0011,0.0003,0.0
current_random_draw,嵊州市队,73.2715,G13,0.1681,0.0383,0.0171,0.007,0.0024
current_random_draw,嘉善县队,72.8539,G02,0.8628,0.1745,0.0688,0.025,0.0073
current_random_draw,苍南县队,72.4635,G01,0.0091,0.0016,0.0009,0.0004,0.0002
current_random_draw,长兴县队,72.4484,G12,0.0096,0.0021,0.0008,0.0003,0.0002
current_random_draw,玉环市队,72.322,G14,0.156,0.0303,0.0118,0.0043,0.0016
current_random_draw,丽水市队,72.2071,G12,0.978,0.1965,0.0796,0.0309,0.0089
current_random_draw,安吉县队,72.1699,G16,0.829,0.1591,0.0623,0.0215,0.0067
current_random_draw,兰溪市队,71.9041,G07,0.8413,0.1676,0.0664,0.0246,0.0082
current_random_draw,德清县队,71.7624,G03,0.0086,0.002,0.0009,0.0003,0.0001
current_random_draw,建德市队,71.5751,G01,0.166,0.028,0.0104,0.0036,0.0009
current_random_draw,桐庐县队,71.5427,G04,0.8288,0.1592,0.0605,0.0209,0.0072
current_random_draw,江山市队,71.295,G11,0.1685,0.0296,0.0103,0.0034,0.0007
current_random_draw,新昌县队,71.1184,G09,0.8415,0.1543,0.0607,0.0204,0.0062
current_random_draw,海盐县队,70.9107,G12,0.1514,0.028,0.0116,0.0042,0.0011
current_random_draw,舟山市队,70.8279,G11,0.9788,0.1694,0.0619,0.0199,0.005
current_random_draw,龙游县队,70.6196,G08,0.0063,0.0008,0.0002,0.0001,0.0
current_random_draw,天台县队,70.492,G06,0.8475,0.1456,0.0534,0.0181,0.006
current_random_draw,仙居县队,70.3899,G16,0.9768,0.1676,0.0649,0.0213,0.0066
current_random_draw,青田县队,70.3035,G02,0.0066,0.0012,0.0002,0.0001,0.0
current_random_draw,武义县队,70.0358,G06,0.0083,0.0014,0.0006,0.0001,0.0
current_random_draw,浦江县队,69.8713,G10,0.174,0.027,0.0095,0.0029,0.0008
current_random_draw,淳安县队,69.7669,G05,0.1472,0.0244,0.0078,0.0022,0.0005
current_random_draw,三门县队,68.9679,G03,0.8327,0.122,0.0431,0.0141,0.0032
current_random_draw,缙云县队,68.9017,G09,0.0065,0.0009,0.0002,0.0001,0.0
current_random_draw,开化县队,68.1313,G06,0.1614,0.0213,0.007,0.0019,0.0005
current_random_draw,龙港市队,68.0773,G15,0.0093,0.0011,0.0006,0.0002,0.0001
current_random_draw,常山县队,67.8454,G15,0.8401,0.109,0.0336,0.0101,0.0024
current_random_draw,龙泉市队,67.7541,G05,0.0061,0.0008,0.0003,0.0001,0.0
current_random_draw,泰顺县队,67.4028,G11,0.0073,0.0008,0.0001,0.0001,0.0
current_random_draw,文成县队,67.3143,G09,0.9783,0.1263,0.0391,0.0126,0.0027
current_random_draw,松阳县队,66.3775,G10,0.8329,0.0927,0.0275,0.0075,0.0017
current_random_draw,遂昌县队,66.1488,G16,0.0068,0.0008,0.0003,0.0,0.0
current_random_draw,磐安县队,65.174,G04,0.0069,0.0005,0.0,0.0,0.0
current_random_draw,岱山县队,65.0806,G08,0.8482,0.0741,0.0175,0.0039,0.0009
current_random_draw,庆元县队,64.7769,G13,0.0053,0.0003,0.0001,0.0,0.0
current_random_draw,景宁畲族自治县队,63.8112,G14,0.8433,0.0665,0.0164,0.0036,0.0006
current_random_draw,云和县队,63.6147,G15,0.9805,0.078,0.0198,0.0043,0.0009
current_random_draw,嵊泗县队,60.0,G02,0.1429,0.008,0.0014,0.0002,0.0
random_draw_rest,杭州市队,90.0,G14,0.991,0.6196,0.4763,0.359,0.2641
random_draw_rest,宁波市队,85.6275,G04,0.9875,0.5158,0.3533,0.2323,0.1399
random_draw_rest,温州市队,82.7149,G07,0.9823,0.4423,0.2781,0.1623,0.0867
random_draw_rest,绍兴市队,82.2449,G02,0.989,0.4316,0.2683,0.1569,0.0852
random_draw_rest,义乌市队,79.6466,G12,0.8558,0.3178,0.1759,0.0898,0.0453
random_draw_rest,台州市队,79.0802,G10,0.984,0.3513,0.19,0.0958,0.044
random_draw_rest,慈溪市队,78.9263,G07,0.1731,0.0586,0.0315,0.0158,0.0073
random_draw_rest,乐清市队,78.3977,G05,0.8629,0.2979,0.158,0.0785,0.035
random_draw_rest,瑞安市队,78.2237,G08,0.1583,0.0515,0.0266,0.013,0.0053
random_draw_rest,海宁市队,77.5332,G07,0.008,0.0029,0.0016,0.0006,0.0003
random_draw_rest,诸暨市队,77.272,G10,0.0088,0.0032,0.0017,0.0007,0.0003
random_draw_rest,金华市队,77.0475,G08,0.9831,0.3042,0.1525,0.0731,0.0333
random_draw_rest,嘉兴市队,76.9739,G01,0.9816,0.2945,0.145,0.0669,0.0272
random_draw_rest,温岭市队,76.944,G09,0.1735,0.0522,0.0278,0.0117,0.0056
random_draw_rest,东阳市队,76.3938,G13,0.9825,0.2884,0.1424,0.0634,0.0255
random_draw_rest,余姚市队,75.7398,G13,0.8518,0.2336,0.11,0.0472,0.0177
random_draw_rest,桐乡市队,75.351,G11,0.8452,0.2225,0.1016,0.0431,0.0177
random_draw_rest,临海市队,75.2157,G05,0.9822,0.255,0.1204,0.0508,0.0204
