scenario,rank,format_name,champion_strength_mean_weight,top8_quarterfinal_rate_weight,top4_round32_elimination_rate_weight,high_travel_quarterfinal_rate_weight,topsis_score
core_only,1,seeded_reseeded,0.3,0.35,0.35,0.0,1.0
core_only,2,seeded_reseeded_rest,0.3,0.35,0.35,0.0,0.700845
core_only,3,group_rank_seeded,0.3,0.35,0.35,0.0,0.665457
core_only,4,group_rank_seeded_rest,0.3,0.35,0.35,0.0,0.56295
core_only,5,random_draw_reseeded,0.3,0.35,0.35,0.0,0.435249
core_only,6,current_random_draw,0.3,0.35,0.35,0.0,0.261785
core_only,7,random_draw_rest,0.3,0.35,0.35,0.0,0.0
low_travel,1,seeded_reseeded,0.27,0.33,0.35,0.05,0.90778
low_travel,2,seeded_reseeded_rest,0.27,0.33,0.35,0.05,0.709046
low_travel,3,group_rank_seeded,0.27,0.33,0.35,0.05,0.668832
low_travel,4,group_rank_seeded_rest,0.27,0.33,0.35,0.05,0.578162
low_travel,5,random_draw_reseeded,0.27,0.33,0.35,0.05,0.41721
low_travel,6,current_random_draw,0.27,0.33,0.35,0.05,0.253728
low_travel,7,random_draw_rest,0.27,0.33,0.35,0.05,0.09222
baseline_priority,1,seeded_reseeded,0.25,0.3,0.35,0.1,0.822888
baseline_priority,2,seeded_reseeded_rest,0.25,0.3,0.35,0.1,0.706284
baseline_priority,3,group_rank_seeded,0.25,0.3,0.35,0.1,0.662609
baseline_priority,4,group_rank_seeded_rest,0.25,0.3,0.35,0.1,0.596676
baseline_priority,5,random_draw_reseeded,0.25,0.3,0.35,0.1,0.398777
baseline_priority,6,current_random_draw,0.25,0.3,0.35,0.1,0.258954
baseline_priority,7,random_draw_rest,0.25,0.3,0.35,0.1,0.177112
travel_sensitive,1,seeded_reseeded,0.23,0.28,0.34,0.15,0.745183
travel_sensitive,2,seeded_reseeded_rest,0.23,0.28,0.34,0.15,0.696902
travel_sensitive,3,group_rank_seeded,0.23,0.28,0.34,0.15,0.639879
travel_sensitive,4,group_rank_seeded_rest,0.23,0.28,0.34,0.15,0.612707
travel_sensitive,5,random_draw_reseeded,0.23,0.28,0.34,0.15,0.382075
travel_sensitive,6,current_random_draw,0.23,0.28,0.34,0.15,0.271241
travel_sensitive,7,random_draw_rest,0.23,0.28,0.34,0.15,0.254817
travel_high,1,seeded_reseeded_rest,0.2,0.27,0.33,0.2,0.687256
travel_high,2,seeded_reseeded,0.2,0.27,0.33,0.2,0.674522
travel_high,3,group_rank_seeded_rest,0.2,0.27,0.33,0.2,0.63336
travel_high,4,group_rank_seeded,0.2,0.27,0.33,0.2,0.608293
travel_high,5,random_draw_reseeded,0.2,0.27,0.33,0.2,0.357664
travel_high,6,random_draw_rest,0.2,0.27,0.33,0.2,0.325478
travel_high,7,current_random_draw,0.2,0.27,0.33,0.2,0.283781
